STRING ID,DESCRIPTION,ENGLISH (US),ENGLISH (UK),FRANÇAIS,FRANÇAIS (QUÉBEC),ESPAÑOL,DEUTSCH,ITALIANO,PORTUGUÊS,РУССКИЙ,ΕΛΛΗΝΙΚΑ,TURKISH,DANSK / DANISH,NORWEGIAN (NB),SWEDISH,DUTCH,العربية,POLSKI,JAPANESE(日本語),简体中文 (ZH_CN),FINNISH,"עברית / Hebrew
"
MENU_YES,,Yes,Yes,Oui,Oui,Si,Ja,Si,Sim,Да,Ναι,Evet,Ja,Ja,Ja,Ja,نعم,Tak,,是,Kyllä,כן
MENU_NO,,No,No,Non,Non,No,Nein,No,Não,Нет,Όχι,Hayir,Nej,Nei,Nej,Nee,لا,Nie,いいえ,否,Ei,לא
MENU_YES_CAPS,,YES,YES,OUI,OUI,SI,JA,SI,SIM,ДА,ΝΑΙ,EVET,JA,JA,JA,JA,نعم,TAK,はい,是,KYLLÄ,כן
MENU_NO_CAPS,,NO,NO,NON,NON,NO,NEIN,NO,NÃO,НЕТ,ΟΧΙ,HAYİR,NEJ,NEI,NEJ,NEE,لا,NIE,いいえ,否,EI,לא
MENU_YEAH,A more casual 'yes',Yeah,Yeah,Ouais,Ouais,Seh,Ja,Si,Sim,Ага,Ναι,,Jah,Ja,Japp,Jup,بالتأكيد,,うん,好的,Joo,"כן, בסדר"
MENU_NOPE,A more casual 'no',Nope,Nope,Non,Non,Nah,Nee,Nah,Não,Не-а,Μπα,,Næh,Nei,Nej,Nope,ابدا,,ううん,不行,Ei,לא נראה לי
MENU_PRESS_START,,Press Start,Press Start,Appuyez sur Start,Appuyez sur Start,Presiona Comenzar,Drücke Start,Premi Start,Pressione Start,Нажмите Старт,Πάτα Έναρξη,,Tryk Start,Trykk Start,Tryck start,Druk op Start,اضغط ابدأ,Naciśnij Start,,按下开始,Paina Start,לחץ התחל
MENU_PRESS_START_CONTINUE,,Press Start to continue,Press Start to continue,Appuyez sur Start pour continuer,Appuyez sur Start pour continuer,Presiona Comenzar para continuar,Drücke Start um fortzufahren,Premi Start per continuare,Pressione Start para continuar,"Нажмите Старт, чтобы продолжить",Πάτα Έναρξη για να συνεχίσεις,,Tryk Start for at fortsætte,Trykk Start for å gå videre,Tryck start för att fortsätta,Druk op start om door te gaan,اضغط ابدأ للمتابعة,"Naciśnij Start, aby kontynuować",,按下开始以继续,Paina Start jatkaaksesi, כדי להמשיך לחץ התחל
MENU_PRESS_ANY,,Press any key,Press any key,Appuyez sur une touche,Appuyez sur une touche,Presiona cualquier tecla,Drücke eine beliebige Taste,Premi un tasto,Pressione qualquer botão,Нажмите любую клавишу,Πάτα ένα πλήκτρο,,Tryk en vilkårlig tast,Trykk en knapp,Tryck på valfri knapp,Druk op een knop,اضغط على أي مفتاح,Naciśnij dowolnyklawisz,,按下任意键,Paina mitä tahansa näppäintä,כדי להתחיל לחץ על אחד מהמקשים
MENU_PRESS_ANY_CONTINUE,,Press any key to continue,Press any key to continue,Appuyez sur une touche pour continuer,Appuyez sur une touche pour continuer,Presiona cualquier tecla para continuar,Drücke eine beliebige Taste um fortzufahren,Premi un tasto per continuare,Pressione qualquer botão para continuar,"Нажмите любую клавишу, чтобы продолжить",Πάτα ένα πλήκτρο για να συνεχίσεις,,Tryk en vilkårlig tast for at fortsætte,Trykk en knapp for å gå videre,Tryck på valfri knapp för att fortsätta,Drup op een knop om door te gaan,اضغط على أي مفتاح للمتابعة,"Naciśnij dowolny klawisz, aby kontynuować",,按下任意键以继续,Paina mitä tahansa näppäintä jatkaaksesi,כדי להמשיך לחץ על אחד מהמקשים 
MENU_NEW_GAME,,New Game,New Game,Nouvelle partie,Nouvelle partie,Juego nuevo,Neues Spiel,Nuova partita,Novo Jogo,Новая игра,Νέο παιχνίδι,Yeni Oyun,Nyt Spil,Nytt Spill,Nytt spel,Nieuw spel,لعبة جديدة,Nowa gra,,新游戏,Uusi Peli,משחק חדש
MENU_CONTINUE,,Continue,Continue,Continuer,Continuer,Continuar,Fortsetzen,Continua,Continuar,Продолжить игру,Συνέχεια,Devam et,Fortsæt,Gå Videre,Fortsätt,Doorgaan,متابعة,Kontynuuj,,继续,Jatka,המשך
MENU_CONTINUE_QUESTION,,Continue?,Continue?,Continuer ?,Continuer?,¿Continuar?,Fortfahren?,Continua?,Continuar?,Продолжить игру?,Συνέχεια;,Devam edilsin mi?,Fortsæt?,Gå Videre?,Fortsätta?,Doorgaan?,متابعة؟,Kontynuować?,,继续？,Jatka?,להמשיך?
MENU_LOAD,,Load,Load,Charger,Charger,Cargar,Laden,Carica,Carregar,Загрузить,Φόρτωσε,Yükle,Indlæs,Laste Opp,Ladda,Laden,تحميل,Wczytaj,,载入,Lataa,טען
MENU_LOAD_GAME,,Load Game,Load Game,Charger une partie,Charger une partie,Cargar Juego,Spiel laden,Carica partita,Carregar Jogo,Загрузить игру,Φόρτωσε παιχνίδι,Oyun yükle,Indlæs Spil,Laste Opp Spill,Ladda spel,Laad spel,تحميل اللعبة,Wczytaj grę,,载入游戏,Lataa peli,טען משחק שמור
MENU_LOADING,,Loading...,Loading...,,,,,Caricamento...,Carregando...,Загрузка…,,,Indlæser,Laster...,Laddar...,Laden...,,,,,,
MENU_PLEASE_WAIT,,Please wait...,Please wait...,,,,,Attendi...,Por favor aguarde...,"Пожалуйста, подождите…",,,Vent venligst,Venligst vent...,Var vänlig vänta...,Even geduld...,,,,,,
MENU_SAVE,,Save,Save,Sauvegarder,Sauvegarder,Guardar,Speichern,Salva,Salvar,Сохранить,Αποθήκευσε,Kaydet,Gem,Lagre,Spara,Opslaan,حفظ,Zapisz,,保存,Tallenna,שמור
MENU_SAVE_GAME,,Save Game,Save Game,Sauvegarder une partie,Sauvegarder une partie,Guardar Juego,Spiel speichern,Salva partita,Salvar Jogo,Сохранить игру,Αποθήκευσε παιχνίδι,Oyunu kaydet,Gem Spil,Lagre Spill,Spara spel,Sla spel op,حفظ اللعبة,Zapisz grę,,保存欧系,Tallenna peli,שמור את המשחק
MENU_SAVING,,Saving...,Saving...,Sauvegarde en cours...,Sauvegarde en cours...,Guardando...,Spiel wird gespeichert...,Salvataggio...,Salvando...,Сохранение…,Αποθηκεύω...,Kaydedilior,Gemmer,Lagrer...,Sparar...,Opslaan...,جاري الحفظ...,Zapisywanie...,,保存中…,Tallennetaan...,שומר...
MENU_EXIT,,Exit,Exit,Sortir,Sortir,Salir,Abbrechen,Esci,Sair,Выход,Έξοδος,Çıkış,Afslut,Avslutt,Avsluta,Aflsuiten,خروج,Wyjdź,,退出,Lopeta,יציאה
MENU_EXIT_QUESTION,,Exit?,Exit?,Sortir?,Sortir?,¿Salir?,Abbrechen?,Uscire?,Sair?,Выйти?,Έξοδος;,Oyundan çıkılsın mı?,Afslut?,Avslutt?,Avsluta?,Afsluiten?,خروج؟,Wyjść?,,退出？,Lopeta?,לצאת?
MENU_DESKTOP,,Exit to Desktop,Exit to Desktop,Sortir vers le bureau,Sortir vers le bureau,Salir al escritorio,Zurück zum Desktop,Torna al desktop,Sair para a área de trabalho,Выйти на рабочий стол,Επιστροφή στο περιβάλλον εργασίας,Masaüstüne çıkış,Tilbage til Skrivebord,Avslutt til skrivebordet,Avsluta till skrivbordet,Sluiten naar bureaublad,الخروج لسطح المكتب,Wyjdź do pulpitu,,退出至桌面,Poistu työpöydälle,יציאה לשולחן העבודה
MENU_DESKTOP_QUESTION,,Exit to Desktop?,Exit to Desktop?,Sortir vers le bureau?,Sortir vers le bureau?,¿Salir al escritorio?,Zum Desktop zurückkehren?,Tornare al desktop?,Sair para a área de trabalho?,Выйти на рабочий стол?,Να επιστρέψω στο περιβάλλον εργασίας;,Masaüstüne çıkılsın mı?,Tilbage til Skrivebord?,Avslutt til skrivebordet?,Avsluta till skrivbordet?,Sluiten naar bureaublad?,الخروج لسطح المكتب؟,Wyjść do pulpitu?,,退出至桌面？,Poistu työpöydälle?,לצאת לשולחן העבודה?
MENU_QUIT,,Quit,Quit,Quitter,Quitter,Cerrar,Beenden,Esci,Sair,Выйти из игру,Έξοδος,,Afslut,Avslutt,Avsluta,Stoppen,انهاء,Wyjdź,,退出,Lopeta,הפסק
MENU_QUIT_QUESTION,,Quit?,Quit?,Quitter ?,Quitter?,¿Cerrar?,Spiel beenden?,Uscire?,Sair?,Выйти из игры?,Έξοδος;,,Afslut?,Avslutt?,Avsluta?,Stoppen?,انهاء؟,Wyjść?,,退出？,Lopeta?,להפסיק?
MENU_PAUSE,,Pause,Pause,,,,Pause,Pausa,Pausa,Пауза,,,Pause,Pause,Pausa,Pauzeren,ايقاف,,,暂停,Pysäytä,השהה
MENU_QUIT_CONFIRM,,Are you sure you want to quit?,Are you sure you want to quit?,Êtes-vous certain de vouloir quitter ?,Êtes-vous certain de vouloir quitter?,¿Está seguro de querer cerrar?,Wollen Sie wirklich das Spiel beenden?,Sicuro di voler uscire?,Você tem certeza de que quer sair?,Вы действительно хотите выйти?,Είσαστε σίγουρος ότι θέλετε να εγκαταλείψετε;,Çıkmak istediğinizden emin misiniz?,Er du sikker på du vil afslutte?,Er du sikker du vill avslutte?,Är du säker på att du vill avsluta?,Weet je zeker dat je wilt stoppen?,هل انت متأكد من الانهاء؟,Czy na pewno chcesz wyjść?,,你确定你需要退出吗？,Haluatko varmasti lopettaa?,אתה בטוח שאתה רוצה להפסיק?
MENU_RETURN,,Return,Return,Retour,Retour,Volver,Zurück,Ritorna,Retornar,Назад,Επιστροφή,Geri Dön,Tilbage,Gå tilbake,Återgå,Terug,العودة,Wróć,,返回,Palaa,חזור
MENU_MAIN_MENU,,Main Menu,Main Menu,Menu principal,Menu principal,Menu principal,Hauptmenü,Menù principale,Menu Principal,Главное меню,Κεντιρκό Μενού,Ana Menü,Hovedmenu,Hoved Meny,Huvudmeny,Hoofdmenu,القائمة الرئيسية,Menu główne,,主界面,Palaa valikkoon,מסך ראשי
MENU_RETURN_MAIN,,Return to Main Menu,Return to Main Menu,Retourner au menu principal,Retourner au menu principal,Volver al menu principal,Zurück zum Hauptmenü,Ritorna al menù principale,Retornar ao Menu Principal,Вернуться в главное меню,Επιστροφή στο Κεντρικό Μενού,Ana Menü'ye geri dön,Tilbage til Hovedmenuen,Gå til hoved meny,Återgå till huvudmeny,Terug naar hoofdmenu,العودة للقائمة الرئيسية,Wróć do menu głównego,,返回至主界面,Palaa päävalikkoon,חזור למסך הראשי
MENU_RETURN_MAIN_QUESTION,,Return to Main Menu?,Return to Main Menu?,Retourner au menu principal ?,Retourner au menu principal?,¿Volver al menu principal?,Zum Hauptmenü zurückkehren?,Ritornare al menù principale?,Retornar ao Menu Principal?,Вернуться в главное меню?,Επιστροφή στο Κεντρικό Μενού;,Ana Menü'ye geri dönülsün mü?,Tilbage til Hovedmenuen?,Ga til hoved menyen?,Återgå till huvudmeny?,Terug naar hoofdmenu?,العودة للقائمة الرئيسية؟,Wrócić do menu głównego?,,返回至主界面？,Palaa päävalikkoon?,לחזור למסך הראשי?
MENU_OPTIONS,,Options,Options,Options,Options,Opciones,Optionen,Opzioni,Opções,Настройки,Επιλογές,Ayarlar,Indstillinger,Innstillinger,Inställningar,Instellingen,خيارات,Ustawienia,,设置,Asetukset,אפשרויות
MENU_OPTIONS_SOUND,,Sound Options,Sound Options,Options sonores,Options sonores,Opciones de sonido,Audioeinstellungen,Opzioni audio,Opções de Som,Настройки звука,Επιλογές ήχου,Ses Ayarları,Lydinstillinger,Lydinnstillinger,Ljudinställningar,Geluidsinstellingen,خيارات الصوت,Ustawienia dźwieku,,声音设置,Ääniasetukset,אפשרויות קול
MENU_SOUND,,Sound,Sound,Son,,,Ton,Audio,Som,Звук,Ήχος,Ses,Lyd,Lyd,Ljud,Geluid,الصوت,Dźwiek,,声音,Ääni,קול
MENU_OPTIONS_SOUND_VOLUME,,Volume,Volume,,,,,Volume,Volume,Громкость,,,Volumen,Volum,Volym,Volume,,,,,,
MENU_OPTIONS_GRAPHICS,,Graphics Options,Graphics Options,Options graphiques,,,Grafikeinstellungen,Opzioni grafiche,Opções Gráficas,Настройки графики,Επιλογές γραφικών,Video Ayarları,Grafiske Indstillinger,Grafiske Innstillinger,Grafikinställningar,Beeldinstellingen,خيارات الرسوميات,Ustawienia grafiki,,图形设置,Grafiikan asetukset,אפשרויות גרפיקה
MENU_GRAPHICS,,Graphics Options,Graphics Options,Graphismes,,,Grafik,Grafica,Opções Gráficas,Графика,Γραφικά,,Grafik,Grafik,Grafik,Beeld,الرسوميات,Ustawienia grafiki,,图形设置,Grafiikka,גרפיקה
MENU_OPTIONS_VIDEO,,Video Options,Video Options,Options vidéo,Options vidéo,Opciones de video,Videoeinstellungen,Opzioni video,Opções de Vídeo,Настройки видео,Επιλογές βίντεο,,Video Indstillinger,Videoinnstillinger,Videoinställningar,Video opties,خيارات الفيديو,Ustawienia wideo,,视频设置,Videoasetukset,אפשרויות וידאו
MENU_VIDEO,,Video Options,Video Options,Vidéo,Vidéo,,Video,Video,Opções de Vídeo,Видео,Βίντεο,,Video,Video,Video,Video opties,الفيديو,Ustawienia wideo,,视频设置,Video,וידאו
MENU_VIDEO_QUALITY,,Quality,Quality,,,,,Qualità,Qualidade,Качество,,,Kvalitet,Kvalitet,,Kwaliteit,,,,,,
MENU_OPTIONS_GAMEPLAY,,Gameplay Options,Gameplay Options,Options de jeu,Options de jeu,Opciones de juego,Gameplay-Optionen,Opzioni di gioco,Opções de Jogo,Настройки игры,Επιλογές παιχνιδιού,Oyun Ayarları,Spilindstillinger,Spillinnstillinger,Spelinställningar,Spelinstellingen,خيارات اللعب,Ustawienia gry,,游戏设置,Peliasetukset,אפשרויות משחק
MENU_OPTIONS_NETWORK,,Network Options,Network Options,Options de réseau,Options de réseau,Opciones de conexión,Netzwerkoptionen,Opzioni di rete,Opções de Rede,Настройки сети,Επιλογές δικτύου,,Netværksindstillinger,Nettverksinnstillinger,Nätverksinställningar,Netwerkinstellingen,خيارات الشبكة,Ustawienia sieciowe,,网络设置,Verkkoasetukset,אפשרויות רשת
MENU_OPTIONS_DIFFICULTY,,Difficulty Options,Difficulty Options,Options de difficulté,Options de difficulté,Opciones de dificultad,Schwierigkeitseinstellungen,Opzioni per la difficoltà,Opções de Dificuldade,Настройки сложности,Επιλογές δυσκολίας,Zorluk Ayarları,Sværhedsgradsinstillinger,Vanskelighetsgradinnstillinger,Svårighetsgradsinställningar,Moeilijkheidsinstellingen,خيارات الصعوبة,Ustawienia trudności,,难度设置,Vaikeustaso,אפשרויות רמת קושי
MENU_DIFFICULTY,,Difficulty,Difficulty,Difficulté,Difficulté,Dificultad,Schwierigkeitsgrad,Difficoltà,Dificuldade,Сложность,Δυσκολία,,Sværhedsgrad,Vanskelighetsgrad,Svårighetsgrad,Moeilijkheid,الصعوبة,Poziom trudności,,难度,Vaikeus,רמת קושי
MENU_VERY_EASY,,Very Easy,Very Easy,Très facile,Très facile,Muy fácil,Sehr einfach,Molto facile,Muito Fácil,Очень просто,Πολύ εύκολο,Çok Kolay,Meget Let,Veldig Enkelt,Väldigt lätt,Zeer makkelijk,سهل جدا,Bardzo łatwy,,非常简单,Erittäin helppo,קל מאוד
MENU_EASY,,Easy,Easy,Facile,Facile,Facil,Einfach,Facile,Fácil,Просто,Εύκολο,Kolay,Let,Enkelt,Lätt,Makkelijk,سهل,Łatwy,,简单,Helppo,קל
MENU_MEDIUM,,Medium,Medium,Moyen,Moyen,Intermedio,Mittel,Medio,Médio,Средне,Μέτριο,Orta,Middel,Middels,Lagom svårt,Normaal,متوسط,Średni,,中等,Keskitaso,לא קל
MENU_HARD,,Hard,Hard,Difficile,Difficile,Dificil,Schwer,Difficile,Difícil,Сложно,Δύσκολο,Zor,Svært,Vanskelig,Svårt,Moeilijk,صعب,Trudny,,困难,Vaikea,קשה
MENU_VERY_HARD,,Very Hard,Very Hard,Très difficile,Très difficile,Muy dificil,Sehr schwer,Molto difficile,Muito Difícil,Очень сложно,Πολύ δύσκολο,Çok Zor,Meget Svært,Veldig Vanskelig,Väldigt svårt,Zeer moeilijk,صعب جدا,Bardzo trudny,,非常困难,Erittäin vaikea,קשה במיוחד
MENU_INSANE,,Insane,Insane,Dément,Dément,Enfermizo,Verrückt,Folle,Insano,Безумно,Τρελά δύσκολο,Deli,Sindsygt,,Galet,Krankzinnig,مجنون,Szalony,,疯狂,Älytön,מטורף
MENU_IMPOSSIBLE,,Impossible,Impossible,Impossible,Impossible,Imposible,Unmöglich,Impossibile,Impossível,Невозможно,Ακατόρθωτα δύσκολο,İmkansız,Umulig,Umulig,Omöjligt,Onmogelijk,مستحيل,Niemożliwy,,不可能,Mahdoton,בלתי אפשרי
MENU_THANK_YOU,,Thank you!,Thank you!,Merci !,Merci!,¡Gracias!,Danke!,Grazie!,Obrigado!,Спасибо!,Ευχαριστώ!,Teşekürler!,Tak!,Takk!,Tack!,Bedankt!,شكرا لك!,Dziekuje!,,谢谢！,Kiitos!,תודה!
MENU_GOODBYE,,Goodbye!,Goodbye!,Au revoir !,Bye!,¡Adios!,Tschüss!,Arrivederci!,Adeus!,До свидания!,Αντίο!,Güle güle!,Farvel!,Ha det!,Farväl!,Vaarwel!,مع السلامة!,Do zobaczenia!,,再见！,Näkemiin!,להתראות!
MENU_ARE_YOU_SURE,A generic confirmation,Are you sure?,Are you sure?,Êtes-vous certain ?,Êtes-vous certain?,¿Está seguro?,Sind Sie sicher?,Sei sicuro?,Você tem certeza?,Вы уверены?,Είσαστε σίγουρος;,Emin misinz?,Er du sikker?,Er du sikker?,Är du säker?,Weet je dit zeker?,هل انت متأكد؟,Czy jesteś pewien?,,你确定吗？,Oletko varma?,אתה בטוח?
MENU_SINGLE_PLAYER,,Single player,Single player,Solo,Solo,Solo,Einzelspielermodus,Giocatore singolo,Um jogador,Одиночная игра,Ένας παίχτης,Tek oyuncu,Enkel spiller,Enkeltspiller,En spelare,Een speler,لاعب واحد,Jeden gracz,,单人模式,Yksinpeli,משחק יחיד
MENU_MULTIPLAYER,,Multiplayer,Multiplayer,Multijoueur,Multijoueur,Multijugador,Mehrspielermodus,Multiplayer,Multijogador,Многопользовательская игра,Πολλοί παίχτες,,Flere spillere,Flerspiller,Flera spelare,Meerdere spelers,عدة لاعبين,Gra wieloosobowa,,联机模式,Moninpeli,משחק רשת
MENU_ONLINE_MULTIPLAYER,,Online Multiplayer,Online Multiplayer,Multijoueur en ligne,Multijoueur en ligne,Multijugador Online,Netzwerk Mehrspielermodus,Multiplayer Online,Multijogador em rede,Многопользовательская игра онлайн,Πολλοί δικτυακοί παίχτες,,Online flere spillere,Online flere spiller,Online-flerspelarläge,Online Multiplayer,عدة لاعبين اونلاين,Gra online,,在线联机,Internet Moninpeli,משחק רשת חיצוני
MENU_LOCAL_MULTIPLAYER,,Local Multiplayer,Local Multiplayer,Multijoueur local,Multijoueur local,Multijugador Local,Lokaler Mehrspielermodus,Multiplayer in locale,Multijogador local,Многопользовательская игра в локальной сети,Πολλοί τοπικοί παίχτες,,Lokal flere spillere,Lokal flere spiller,Lokalt flerspelarläge,Lokale Multiplayer,عدة لاعبين محلي,Gra wieloosobowa - lokalnie,,本地联机,Paikallinen moninpeli,משחק רשת פנימי
MENU_SPLITSCREEN,,Splitscreen,Splitscreen,Écran divisée,Écran divisée,Pantalla compartida,Splitscreen,Schermo Condiviso,Tela dividida,Игра с разделением экрана,Χωρισμένη οθόνη,,Delt skærm,Delt Skjerm,Delad skärm,,اقتسام الشاشة,Podzielony ekran,,分屏,Jaettu näyttö,מסך מפוצל
MENU_COOP,,Co-op,Co-op,Co-op,Co-op,Co-op,Kooperativ,Co-op,Co-op,Co-op,Συνεργατικό,,Co-op,Co-op,"Co-op
",,تعاوني,Współpraca,,合作,"Co-op
","שת""פ"
MENU_COOPERATIVE,,Cooperative,Cooperative,Coopératif,Coopérative,Cooperativo,Kooperativ,Cooperativo,Cooperativo,Совместное прохождение,Συνεργατικό,,Kooperativt,,Kooperativt,,تعاوني,Współpraca,,合作模式,Yhteistyö,שיתוף פעולה
MENU_VERSUS,,Versus,Versus,Versus,Versus,Enfrentado,Gegeneinander,Sfida,Versus,против,Αντίπαλοι,,Versus,,Kontra,,ضد,Kontra,,对抗模式,Vastakkain,אחד מול השני
MENU_DEATHMATCH,,Deathmatch,Deathmatch,Match à mort,Match à mort,Encuentro a muerte,Deathmatch,Deathmatch,Mata-mata,,Αγώνας μέχρι θανάτου,,Deatmatch,Dødsmatch,Dödsmatch,,لعبة حتى الموت,Deathmatch,,死亡竞赛,Deathmatch,כולם נגד כולם